id_str,screen_name
8.2829E+17,CzajaRick
7.95708E+17,ksaw244
428599427,Cell192
8.80212E+17,centtexoldcon
102147148,eversosweetjen
605541071,philsaggese
7.18745E+17,trucksyeeyee
2370928808,rjones732
9.55176E+17,TalkPolitics247
9.23252E+17,WompTheSwamp
162071454,WomenInGovt
50545186,dwhitt3
1.01139E+18,DKTRAVERS1
33249556,MrJustinBarclay
636438332,weytkow2
1.01414E+18,iFunnyValentine
1.01412E+18,WalkAway____
1.01232E+18,AbbasHaidersha
2370953706,JasonSullivan_
367873443,SamWangPhD
17030638,buffyoconnor
135026997,centeredwarrior
3239853627,JennElizabethJ
1.01107E+18,IdaByrdHillBOE
33104915,GLcheercoach
2881080385,donnawanna6
391031293,iambadbossone
1.01393E+18,DevonDante
19843899,StormChaseLisa
2740350232,GLund41
8810172,KTeaFayGala
4424912774,ScottHendrick49
21121263,KevinLignell
19824035,Windmere818
1.01168E+18,SandraBlu2
1.01383E+18,TreJay20
3254818247,kolvin74
1.00622E+18,TeamHydeSmith
1.01375E+18,JoeWalker_x4
1.01377E+18,timhollosy
9.52828E+17,Davidma54522348
129259273,Steve4Kansas
9.94017E+17,Khlorese1
239754469,AshMWill
22376888,patday1533
1.01326E+18,Antonia80356249
351214249,jillseidelman
1.01342E+18,LIeccT9HSd0XlXC
1.01346E+18,LArkwanshi
56729271,buffielouise
22631445,RockyMcNeill
357915363,ScottArold
860618630,TylerArnold18
297648362,SirBushy
1.0134E+18,Mostaqu31232357
2575557792,kevinmurrayinc
1606900476,Darric_USVET
456017752,RESURRECTIONnow
9.30999E+17,StockMonsterUSA
8.87388E+17,1997MAGOblue
1.0098E+18,TayHornibrook
7.01299E+17,Deplorable4TX
1.00761E+18,zakwansaybaa
9.6674E+17,IParasher
2893438709,SamirAmanne
7.21557E+17,glsander22
2200622893,millitello
8.32545E+17,XavcarRC
1.013E+18,lexy_absey
3134411065,Rebelocracy
9.33507E+17,QuailJeff
80281180,RyArnt
1.00628E+18,leeturner74yah1
9.66879E+17,Lucifer_Liberty
9.5887E+17,Male_ism
8.70481E+17,LeonardJJohnson
1933442244,heyvey6
9.9391E+17,mothere53265401
47947858,boothgr8
27749780,nicki4neyrn
9.76889E+17,MarkLHymes
9.15931E+17,VanieMoyen
219075646,BLUWATERmedispa
173120220,Donn74
1.00006E+18,Boldlygo4
8.58417E+17,ghost_titties
298286922,collinkriz
1.01127E+18,GM7715
51408393,OliveStStudio
27436439,dcarolferguson
9.96167E+17,HigeyPolly
537389609,pembpix
9.83483E+17,freedom_moates
9.10588E+17,Patrici59773813
3000582533,bkeats00776
115757952,davebocekwriter
430808272,wkatan83
772678038,saglover64
8.19965E+17,ElsaNorway017
1132912567,grifftenstein
1.01251E+18,MargieP18033140
1344208874,bnjmn_k_wdcck
45406407,brandonlray
9.74662E+17,darthlimitedgov
2499907704,ninja_pleese
1.01249E+18,politicsshmoli1
1.01244E+18,schuette_bill
9.96986E+17,TheGOPchump
425850925,HammerWilliam
3118868504,Mr_Magnifyy
4892916636,RochelleKipnis
52284025,kgkiser2015
885696355,Yaki_Joe
88966162,MAGAlover99
4180885953,patriot17761980
9.99408E+17,Feejii2
8.26178E+17,lovemymaynard
7.86685E+17,KenRini1
7.2845E+17,GregAdvocareGuy
1.00865E+18,JohnsonDonnaA1
1.011E+18,EmerickTrent
3007259166,4TRUMPandTRUTH
2820587643,jrocksnrolls1
1273907060,sportsfanNEA
1.00226E+18,Truthse30435230
391161530,NoPiggyBanks
513482391,jerryvecch
8.00495E+17,mikesmith8869
8.02671E+17,rd_m2002
36328649,bloodoil
16449478,ciesliga
8.5833E+17,keithwvaughn
803775529,aldridgegal5135
33884435,tlynnmitch
9.47967E+17,fukcyou112
9.88974E+17,BuiTheHoang
1.01096E+18,ClarkDrew6
7.98132E+17,BeatleBlair
2858231347,patpolzin
1.00989E+18,OwenTuckey
54709774,buy_silver
9.77146E+17,bruce21251315
166551406,Timsfan72
1537652724,green5859
2851097662,KingKrankor
8.50234E+17,JerryHightower2
594239559,DavidDagger7
466578002,KBMAGAFL
1.01205E+18,LibertyLadyNYC
1695217200,d_oversole
2324566513,ForbushBecky
118826310,sdhowarr14
8.88961E+17,katie_ricsresto
928077848,DominicAMancini
1308241352,jcthomas57
2293039308,BobDliberal
7.13811E+17,AmerikanLad
7.61734E+17,joep4USA
7.32974E+17,Dearest15Mommie
9.74322E+17,acethemravkata
7.47945E+17,Weasle37417140
232481281,MF_WHITE
9.56388E+17,LibSlayrr
23590450,_Land_Lady_
162784836,PrincessPoise
70118501,musemusic1
390442857,jachensj
8.04104E+17,Jaybirdsound
1.00875E+18,BakerGrpStrat
8.35475E+17,Samwise_16
8.2546E+17,Bot_12345678910
54061081,lyncofta
1.01176E+18,MonParrot
3135349648,NoelCorde7
8.05849E+17,GayConservativ2
2391949368,ChristopherOrp1
359030137,MahaFaks
90996225,Hexey
4077501221,EllenMftw
49087476,Cubswin8
27655330,lgrimes15
3321628049,CrimsonOctavius
8.32682E+17,mcgrath_mrs
7.82667E+17,carlosrMAGA
1.00776E+18,liberal_punch
9.27927E+17,csgraphicsusa
3308224914,lapzake
8.83382E+17,freetelegraph
8.44241E+17,cuda2323
1.00731E+18,themichigander1
1.0116E+18,rubinad18
9.62403E+17,romi_suparman
458972340,mattrobert8
3579012621,psquared1976
818387048,mandypmayfield
9.39306E+17,DonnaWoodall12
3025267625,mfreckletonGOP
539168849,rangosix3
9.39677E+17,blennytechno
195777968,HoraceMann
1.01111E+18,BasharFareed
47839226,bnov25
1.00109E+18,itairak2
626515184,its_for_sale
8.74818E+17,SandyTravisSAGE
38976007,muwafaks
9.38107E+17,inmyhood2
1.01089E+18,raul30078gmail1
9.96245E+17,ashley_szekeres
56967192,1D10Two
8.1784E+17,Godsgirl158
3795821783,RandyWeaver19
1.01062E+18,ATegula
307631149,geyfgt
254954073,JimCzerwinski
4765364386,ChuckCallesto
1.01056E+18,VoteVillar
296008139,AshleyGork
347892178,VillofDecatur
14464961,deplorabletbs40
7.03971E+17,TrumpTrainOnly
9.46927E+17,Alexand57767753
9.00561E+17,RedEnsignForevr
9.01972E+17,SaraMarie122
62932615,mimi4meyerboys
1.01027E+18,alizaib21428471
9.66027E+17,Yoop3rman
402884773,GeorgeHunter_DN
1.0098E+18,Jacobcz2
9.54639E+17,SuzanneKochiss
19516551,denmart40
9.95073E+17,WolverinePols
9.66483E+17,joey_coats
1.00985E+18,Kibet62536227
1.00984E+18,asdavispro
800461225,mjmorris71
1046058960,Kris_Stribs
1.00777E+18,richard30190726
8.45317E+17,flrightwingers
1.00663E+18,coffee_mom_
351322889,dksmith323
9.54316E+17,carolbarker51
523974451,Troublesince72
8.88804E+17,RobertR63351689
1.00196E+18,Courtne61182490
59034225,reid_meador73
16475200,Jumama
3286041385,defrussianbot
468304318,MLG0310
3032030048,pkmnfreak13
41684552,HillaryKipp
1.0096E+18,atflansing
1.0096E+18,Torri61530344
2612135005,KAW710CO
292710404,JJDeac
1692282854,rossmceach
8.73306E+17,penamanrocks
8.17399E+17,Michell63829055
9.13109E+17,TweetBoosts
1324789880,bunny_commander
7.90624E+17,kevin_biglin
232744850,Doubles3000
8.13898E+17,clay_jancek
8.36264E+17,RealityCheckSC
277757664,RachMack22
8.21562E+17,DeplorableME23
1.00953E+18,ryan_7_mi
503995377,BrianKuenzer
16567621,gosilent
